byr,race,interval,vmn1,vsd1,vnu1,vnms1,vfin1,year,ctr1,type,ltax,xltax,eligible,earn_nz,sd_nz
50,white,55,10634.14,8789.24,181,4.0,0.227,80,19,TAXAB,0.061,0.055,False,13756.9728331,7548.21485656
50,white,56,12422.82,9450.9,196,3.0,0.168,80,19,TAXAB,0.102,0.082,False,14931.2740385,8360.66783223
50,white,57,10851.98,8542.93,201,5.0,0.204,80,19,TAXAB,0.055,0.05,False,13633.1407035,7332.77154352
50,white,58,13089.94,9435.34,235,5.0,0.157,80,19,TAXAB,0.115,0.085,False,15527.8054567,8231.10210996
50,white,59,11444.25,9134.74,218,6.0,0.188,80,19,TAXAB,0.092,0.064,False,14093.9039409,8088.19707746
50,white,60,12465.92,9244.97,204,1.5,0.167,80,19,TAXAB,0.103,0.078,False,14965.090036,8074.90566628
50,white,61,11270.81,9134.05,235,4.0,0.191,80,19,TAXAB,0.081,0.06,False,13931.7799753,8127.5054059
50,white,62,11933.36,9169.45,210,3.0,0.176,80,19,TAXAB,0.095,0.081,False,14482.2330097,8069.94559745
50,white,63,11463.13,9458.47,219,4.0,0.233,80,19,TAXAB,0.078,0.055,False,14945.410691,8037.13824959
50,white,64,12125.12,9202.25,219,4.0,0.196,80,19,TAXAB,0.087,0.064,False,15080.9950249,7794.07429593
50,white,65,12162.32,9662.6,205,4.0,0.21,80,19,TAXAB,0.146,0.112,False,15395.3417722,8271.10215668
50,white,66,10614.54,9482.87,225,5.0,0.267,80,19,TAXAB,0.098,0.076,False,14480.9549795,8166.46446483
50,white,67,11506.71,8962.98,219,5.0,0.224,80,19,TAXAB,0.073,0.068,False,14828.2345361,7366.96363527
50,white,68,11210.64,9612.41,204,3.0,0.279,80,19,TAXAB,0.108,0.098,False,15548.7378641,7791.09813959
50,white,69,11708.34,9380.73,200,1.5,0.21,80,19,TAXAB,0.13,0.115,False,14820.6835443,8078.54784853
50,white,70,11494.38,8941.89,229,4.0,0.197,80,19,TAXAB,0.083,0.07,False,14314.2963885,7694.68822899
50,white,71,11980.89,9410.62,222,1.5,0.194,80,19,TAXAB,0.095,0.072,False,14864.6277916,8185.96083139
50,white,72,11684.78,9403.36,243,1.5,0.193,80,19,TAXAB,0.095,0.078,False,14479.2812887,8313.11399768
50,white,73,12213.66,9604.31,238,5.0,0.197,80,19,TAXAB,0.16,0.147,False,15210.0373599,8324.52275159
50,white,1,12816.04,10908.22,189,3.0,0.206,81,21,TAXAB,0.09,0.053,True,16141.1083123,9807.66260054
50,white,2,14055.59,10107.83,234,3.0,0.162,81,21,TAXAB,0.094,0.085,True,16772.7804296,8737.52180003
50,white,3,14465.36,10500.91,225,4.0,0.169,81,21,TAXAB,0.102,0.062,True,17407.1720818,9026.95122342
50,white,4,13323.66,10921.34,244,1.5,0.209,81,21,TAXAB,0.094,0.061,True,16844.0707965,9565.19388788
50,white,5,12879.79,9928.59,210,4.0,0.19,81,21,TAXAB,0.071,0.052,True,15900.9753086,8582.54523974
50,white,6,12024.43,10598.28,202,6.0,0.252,81,21,TAXAB,0.074,0.054,True,16075.4411765,9221.896072
50,white,7,14819.0,9953.32,175,3.0,0.137,81,21,TAXAB,0.103,0.091,True,17171.4947856,8625.52725942
50,white,8,12745.48,10471.32,213,7.0,0.178,81,21,TAXAB,0.089,0.061,True,15505.4501217,9518.28810567
